Symbol,Company Name,Stock Price,Price Target,PT Diff in %,Score,Valuation,Valuation1,PT Diff in % Absolute,Score1,BG_Value,Score2,PE Ratio,PE_Market_avg,Score3,Industry,PE_Industry_group_avg,Score4,Valuation_total_score,Symbol,Company Name,EPS Growth 5Y,EPS_Industry_group_avg,PScore1,EPS_Market_avg,PScore2,Industry,Rev. Growth 5Y,Rev_Industry_group_avg,PScore3,Rev_Market_avg,PScore4,ROE,PScore5,Performance_total_score,Symbol,Company Name,Op. Income,FScore1,Current Ratio,FScore2,Industry,Debt / Equity,DE_Industry_group_avg,FScore3,DE_Market_avg,FScore4,EPS Growth 3Y,EPS Growth 5Y,FScore5,Financial_total_score,Total_Score,Max_Score,Stock_Score_Ratio (%)
AAME,Atlantic American,2.24,,,0,,,,0,3.749842390340432,1,17.23,62.24668954248366,0,Insurance - Life,70.66466666666666,0,1,AAME,Atlantic American,-1.47,-3.866153846153845,1,13.162481789802287,0,Insurance - Life,2.22,6.495294117647059,0,13.650812124678296,0,2.3,0,1,AAME,Atlantic American,5758000.0,1,,0,Insurance - Life,0.35,0.6499999999999999,1,2.0191649269311065,1,,-1.47%,0,3,5,15,33.33
AAN,The Aaron's Company,13.32,13.2,-0.9,0,Overpriced,Slightly,0.9,0,,0,,62.24668954248366,0,Rental & Leasing Services,18.27142857142857,0,0,AAN,The Aaron's Company,,10.841333333333331,0,13.162481789802287,0,Rental & Leasing Services,,7.046666666666667,0,13.650812124678296,0,-2.0,0,0,AAN,The Aaron's Company,-20052000.0,0,,0,Rental & Leasing Services,1.02,4.065714285714286,1,2.0191649269311065,1,,,0,2,2,15,13.33
AAOI,Applied Optoelectronics,4.85,7.5,54.64,1,Underpriced,Significantly,54.64,1,,0,,62.24668954248366,0,Semiconductors,328.74357142857144,0,2,AAOI,Applied Optoelectronics,,25.8856,0,13.162481789802287,0,Semiconductors,-8.64,8.33470588235294,0,13.650812124678296,0,-34.4,0,0,AAOI,Applied Optoelectronics,-58925000.0,0,0.79,0,Semiconductors,0.9,0.497,0,2.0191649269311065,1,,,0,1,3,15,20.0
AAON,"AAON, Inc.",95.8,86.5,-9.71,0,Overpriced,Slightly,9.71,0,23.58023530944899,0,43.55,62.24668954248366,0,Building Products & Equipment,25.749655172413792,0,0,AAON,"AAON, Inc.",19.57,22.427200000000003,0,13.162481789802287,1,Building Products & Equipment,18.37,8.524827586206897,1,13.650812124678296,1,21.8,1,4,AAON,"AAON, Inc.",147957000.0,1,2.79,1,Building Products & Equipment,0.14,1.1490909090909092,1,2.0191649269311065,1,20.74%,19.57%,0,4,8,15,53.33
AAP,Advance Auto Parts,69.22,106.18,53.39,1,Underpriced,Significantly,53.39,1,82.00749104682171,1,10.27,62.24668954248366,0,Specialty Retail,17.69741935483871,0,3,AAP,Advance Auto Parts,-0.18,16.853181818181817,0,13.162481789802287,0,Specialty Retail,3.66,9.043939393939391,0,13.650812124678296,0,15.0,0,0,AAP,Advance Auto Parts,600881000.0,1,1.24,1,Specialty Retail,1.58,1.9822222222222223,1,2.0191649269311065,1,7.08%,-0.18%,0,4,7,15,46.67
AAPL,Apple,184.92,185.21,0.16,1,Underpriced,Slightly,0.16,0,22.885004504877795,0,31.4,62.24668954248366,0,Consumer Electronics,49.6125,0,1,AAPL,Apple,17.86,16.295,1,13.162481789802287,1,Consumer Electronics,9.25,1.6223076923076922,1,13.650812124678296,0,165.7,1,4,AAPL,Apple,112304000000.0,1,0.94,0,Consumer Electronics,1.76,0.5646153846153846,0,2.0191649269311065,1,22.68%,17.86%,0,2,7,15,46.67
AAT,American Assets Trust,19.7,23.5,19.29,1,Underpriced,Slightly,19.29,0,17.08865318077986,0,24.02,62.24668954248366,0,REIT - Diversified,31.277272727272727,0,1,AAT,American Assets Trust,12.75,-0.132222222222222,1,13.162481789802287,0,REIT - Diversified,5.91,7.515000000000001,0,13.650812124678296,0,4.0,0,1,AAT,American Assets Trust,116108000.0,1,,0,REIT - Diversified,1.39,1.7460869565217394,1,2.0191649269311065,1,0.41%,12.75%,1,4,6,15,40.0
AAU,Almaden Minerals,0.13,,,0,,,,0,,0,,62.24668954248366,0,Gold,61.23947368421052,0,0,AAU,Almaden Minerals,,11.377142857142855,0,13.162481789802287,0,Gold,,6.142173913043479,0,13.650812124678296,0,-15.1,0,0,AAU,Almaden Minerals,-3545165.0,0,23.77,1,Gold,0.06,0.4391428571428571,1,2.0191649269311065,1,,,0,3,3,15,20.0
AB,AllianceBernstein Holding L.P.,33.46,39.6,18.35,1,Underpriced,Slightly,18.35,0,31.39070149666945,0,13.83,62.24668954248366,0,Asset Management,42.88767123287671,0,1,AB,AllianceBernstein Holding L.P.,0.76,-0.9029824561403508,1,13.162481789802287,0,Asset Management,2.97,7.635121951219513,0,13.650812124678296,0,14.3,0,1,AB,AllianceBernstein Holding L.P.,287533000.0,1,,0,Asset Management,,1.8213684210526315,0,2.0191649269311065,0,-2.74%,0.76%,1,2,4,15,26.67
ABBV,AbbVie,138.64,164.94,18.97,1,Underpriced,Slightly,18.97,0,26.791072635380704,0,32.7,62.24668954248366,0,Drug Manufacturers - General,27.4225,0,1,ABBV,AbbVie,1.32,26.954615384615387,0,13.162481789802287,0,Drug Manufacturers - General,13.89,7.980714285714286,1,13.650812124678296,1,49.6,1,3,ABBV,AbbVie,16168000000.0,1,0.96,0,Drug Manufacturers - General,4.68,1.828125,0,2.0191649269311065,0,-9.07%,1.32%,1,2,6,15,40.0
ABC,AmerisourceBergen,183.01,186.88,2.11,1,Underpriced,Slightly,2.11,0,15.627195672162392,0,23.49,62.24668954248366,0,Medical Distribution,22.002857142857145,0,1,ABC,AmerisourceBergen,15.08,24.49166666666667,0,13.162481789802287,1,Medical Distribution,9.21,14.636666666666668,0,13.650812124678296,0,5561.2,1,2,ABC,AmerisourceBergen,2135478000.0,1,0.89,0,Medical Distribution,17.51,3.381428571428572,0,2.0191649269311065,0,0.87%,15.08%,1,2,5,15,33.33
ABCB,Ameris Bancorp,35.32,47.17,33.55,1,Underpriced,Significantly,33.55,1,70.34523114032562,1,7.53,62.24668954248366,0,Banks - Regional,11.796324786324789,0,3,ABCB,Ameris Bancorp,17.43,17.076541095890413,1,13.162481789802287,1,Banks - Regional,21.79,12.27737541528239,1,13.650812124678296,1,10.3,0,4,ABCB,Ameris Bancorp,422246000.0,1,,0,Banks - Regional,0.78,0.965042492917847,1,2.0191649269311065,1,26.26%,17.43%,0,3,10,15,66.67
ABCL,AbCellera Biologics,7.58,26.5,249.6,1,Underpriced,Significantly,249.6,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ABCL,AbCellera Biologics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-4.1,0,0,ABCL,AbCellera Biologics,-73313000.0,0,10.5,1,Biotechnology,0.06,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ABCM,Abcam,22.31,21.0,-5.87,0,Overpriced,Slightly,5.87,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,ABCM,Abcam,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-1.2,0,0,ABCM,Abcam,-12168675.0,0,1.27,1,Biotechnology,0.31,0.9478119349005424,1,2.0191649269311065,1,,,0,3,3,15,20.0
ABEO,Abeona Therapeutics,4.5,22.0,388.89,1,Underpriced,Significantly,388.89,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ABEO,Abeona Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,-2.01,20.71185567010309,0,13.650812124678296,0,-157.0,0,0,ABEO,Abeona Therapeutics,-41912000.0,0,5.77,1,Biotechnology,0.39,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ABEV,Ambev,3.09,3.74,21.04,1,Underpriced,Significantly,21.04,1,1.9398644840207069,0,16.26,62.24668954248366,0,Beverages - Brewers,30.528,0,2,ABEV,Ambev,,-9.2,0,13.162481789802287,0,Beverages - Brewers,,18.9825,0,13.650812124678296,0,17.6,0,0,ABEV,Ambev,3370718336.0,1,0.93,0,Beverages - Brewers,0.05,0.6514285714285715,1,2.0191649269311065,1,,,0,3,5,15,33.33
ABG,Asbury Automotive Group,221.79,227.0,2.35,1,Underpriced,Slightly,2.35,0,368.23211425026193,1,5.21,62.24668954248366,0,Auto & Truck Dealerships,22.174705882352946,0,2,ABG,Asbury Automotive Group,43.68,14.869285714285716,1,13.162481789802287,1,Auto & Truck Dealerships,18.32,19.66263157894737,0,13.650812124678296,1,34.2,1,4,ABG,Asbury Automotive Group,1226400000.0,1,1.92,1,Auto & Truck Dealerships,1.17,3.888888888888889,1,2.0191649269311065,1,71.55%,43.68%,0,4,10,15,66.67
ABIO,ARCA biopharma,2.1,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,ABIO,ARCA biopharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-18.8,0,0,ABIO,ARCA biopharma,-9115000.0,0,32.94,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3,3,15,20.0
ABM,ABM Industries,42.35,49.5,16.88,1,Underpriced,Slightly,16.88,0,42.22449301052731,0,14.4,62.24668954248366,0,Specialty Business Services,33.583636363636366,0,1,ABM,ABM Industries,17.02,12.134285714285712,1,13.162481789802287,1,Specialty Business Services,5.84,0.839230769230769,1,13.650812124678296,0,11.3,0,3,ABM,ABM Industries,331800000.0,1,1.53,1,Specialty Business Services,0.85,1.0571875,1,2.0191649269311065,1,,17.02%,0,4,8,15,53.33
ABNB,Airbnb,128.68,131.28,2.02,1,Underpriced,Slightly,2.02,0,23.84433652439245,0,42.75,62.24668954248366,0,Travel Services,32.362,0,1,ABNB,Airbnb,,3.3125,0,13.162481789802287,0,Travel Services,,-3.507692307692308,0,13.650812124678296,0,37.5,1,1,ABNB,Airbnb,1802131000.0,1,1.55,1,Travel Services,0.43,3.561,1,2.0191649269311065,1,,,0,4,6,15,40.0
ABOS,Acumen Pharmaceuticals,5.84,15.75,169.69,1,Underpriced,Significantly,169.69,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ABOS,Acumen Pharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-23.4,0,0,ABOS,Acumen Pharmaceuticals,-49165000.0,0,16.41,1,Biotechnology,0.0,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ABR,Arbor Realty Trust,13.87,14.75,6.34,1,Underpriced,Slightly,6.34,0,25.40591659104483,1,8.06,62.24668954248366,0,REIT - Mortgage,16.103125,0,2,ABR,Arbor Realty Trust,6.76,-7.851666666666667,1,13.162481789802287,0,REIT - Mortgage,19.71,3.036666666666666,1,13.650812124678296,1,10.6,0,3,ABR,Arbor Realty Trust,375688000.0,1,,0,REIT - Mortgage,4.32,5.33775,1,2.0191649269311065,0,55.21%,6.76%,1,3,8,15,53.33
ABSI,Absci,1.75,8.67,395.43,1,Underpriced,Significantly,395.43,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ABSI,Absci,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-34.7,0,0,ABSI,Absci,-102432000.0,0,6.08,1,Biotechnology,0.08,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ABST,Absolute Software,11.36,13.0,14.44,1,Underpriced,Slightly,14.44,0,1.5834484190128642,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,1,ABST,Absolute Software,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,,0,0,ABST,Absolute Software,-2764000.0,0,0.65,0,Software - Application,,4.053584905660378,0,2.0191649269311065,0,,,0,0,1,15,6.67
ABT,Abbott Laboratories,106.2,123.3,16.1,1,Underpriced,Slightly,16.1,0,39.8110692018745,0,32.28,62.24668954248366,0,Medical Devices,1044.0974193548386,0,1,ABT,Abbott Laboratories,66.13,13.007727272727273,1,13.162481789802287,1,Medical Devices,7.85,21.801046511627906,0,13.650812124678296,0,15.8,0,2,ABT,Abbott Laboratories,6959000000.0,1,1.68,1,Medical Devices,0.45,0.79453125,1,2.0191649269311065,1,18.24%,66.13%,1,5,8,15,53.33
ABUS,Arbutus Biopharma,2.49,6.0,140.96,1,Underpriced,Significantly,140.96,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ABUS,Arbutus Biopharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,22.72,20.71185567010309,1,13.650812124678296,1,-48.3,0,2,ABUS,Arbutus Biopharma,-69590000.0,0,6.08,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3,7,15,46.67
ABVC,ABVC BioPharma,0.58,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,ABVC,ABVC BioPharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-244.8,0,0,ABVC,ABVC BioPharma,-10801875.0,0,0.69,0,Biotechnology,3.12,0.9478119349005424,0,2.0191649269311065,0,,,0,0,0,15,0.0
AC,Associated Capital Group,35.68,,,0,,,,0,,0,,62.24668954248366,0,Capital Markets,21.3659375,0,0,AC,Associated Capital Group,,31.522727272727277,0,13.162481789802287,0,Capital Markets,-10.71,27.81722222222222,0,13.650812124678296,0,-1.7,0,0,AC,Associated Capital Group,-13089000.0,0,,0,Capital Markets,0.0,1.859811320754717,1,2.0191649269311065,1,,,0,2,2,15,13.33
ACA,Arcosa,71.52,78.75,10.11,1,Underpriced,Slightly,10.11,0,77.53985663429482,1,12.4,62.24668954248366,0,Infrastructure Operations,27.21,0,2,ACA,Arcosa,,,0,13.162481789802287,0,Infrastructure Operations,,29.75,0,13.650812124678296,0,13.3,0,0,ACA,Arcosa,366800000.0,1,2.4,1,Infrastructure Operations,0.25,2.62,1,2.0191649269311065,1,33.96%,,0,4,6,15,40.0
ACAB,Atlantic Coastal Acquisition Corp. II,10.39,,,0,,,,0,,0,94.45,62.24668954248366,1,Shell Companies,132.68085501858738,0,1,ACAB,Atlantic Coastal Acquisition Corp. II,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-36.5,0,0,ACAB,Atlantic Coastal Acquisition Corp. II,-2094431.0,0,0.18,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,1,15,6.67
ACAC,Acri Capital Acquisition,10.8,,,0,,,,0,6.885091322027683,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,ACAC,Acri Capital Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-29.0,0,0,ACAC,Acri Capital Acquisition,-910196.0,0,0.52,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
ACAD,ACADIA Pharmaceuticals,24.07,22.48,-6.61,0,Overpriced,Slightly,6.61,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,ACAD,ACADIA Pharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,26.84,20.71185567010309,1,13.650812124678296,1,-35.7,0,2,ACAD,ACADIA Pharmaceuticals,-164164000.0,0,2.24,1,Biotechnology,0.14,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ACAH,Atlantic Coastal Acquisition,10.27,,,0,,,,0,,0,39.5,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,ACAH,Atlantic Coastal Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-55.9,0,0,ACAH,Atlantic Coastal Acquisition,-2711744.0,0,0.16,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
ACAQ,Athena Consumer Acquisition,10.78,,,0,,,,0,,0,1078.0,62.24668954248366,1,Shell Companies,132.68085501858738,1,2,ACAQ,Athena Consumer Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0,ACAQ,Athena Consumer Acquisition,-5349341.0,0,0.05,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,2,15,13.33
ACAX,Alset Capital Acquisition,10.4,,,0,,,,0,,0,260.0,62.24668954248366,1,Shell Companies,132.68085501858738,1,2,ACAX,Alset Capital Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-40.8,0,0,ACAX,Alset Capital Acquisition,-796867.0,0,2.14,1,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,1,3,15,20.0
ACB,Aurora Cannabis,0.54,1.6,196.3,1,Underpriced,Significantly,196.3,1,,0,,62.24668954248366,0,Drug Manufacturers - Specialty & Generic,42.62173913043478,0,2,ACB,Aurora Cannabis,,12.529999999999998,0,13.162481789802287,0,Drug Manufacturers - Specialty & Generic,,36.78283333333333,0,13.650812124678296,0,-148.4,0,0,ACB,Aurora Cannabis,-160871739.0,0,1.98,1,Drug Manufacturers - Specialty & Generic,0.47,1.5526190476190476,1,2.0191649269311065,1,,,0,3,5,15,33.33
ACBA,Ace Global Business Acquisition,11.24,,,0,,,,0,5.415514868936134,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,ACBA,Ace Global Business Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-24.1,0,0,ACBA,Ace Global Business Acquisition,-1194110.0,0,0.04,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
ACCD,Accolade,13.62,15.1,10.87,1,Underpriced,Slightly,10.87,0,,0,,62.24668954248366,0,Health Information Services,95.418,0,1,ACCD,Accolade,,6.83,0,13.162481789802287,0,Health Information Services,,39.20904761904762,0,13.650812124678296,0,-91.9,0,0,ACCD,Accolade,-463529000.0,0,3.07,1,Health Information Services,0.67,0.5213207547169811,0,2.0191649269311065,1,,,0,2,3,15,20.0
ACCO,ACCO Brands,5.25,7.0,33.33,1,Underpriced,Significantly,33.33,1,,0,,62.24668954248366,0,Business Equipment & Supplies,16.6125,0,2,ACCO,ACCO Brands,,4.64,0,13.162481789802287,0,Business Equipment & Supplies,-0.88,1.82,0,13.650812124678296,0,-1.7,0,0,ACCO,ACCO Brands,26500000.0,1,1.77,1,Business Equipment & Supplies,1.46,0.918,0,2.0191649269311065,1,,,0,3,5,15,33.33
ACDC,ProFrac Holding,13.52,23.0,70.12,1,Underpriced,Significantly,70.12,1,6.447471613175408,0,5.52,62.24668954248366,0,Oil & Gas Equipment & Services,26.98588235294117,0,2,ACDC,ProFrac Holding,,6.779166666666669,0,13.162481789802287,0,Oil & Gas Equipment & Services,,6.791304347826086,0,13.650812124678296,0,-13.6,0,0,ACDC,ProFrac Holding,484908000.0,1,1.06,1,Oil & Gas Equipment & Services,11.36,1.178125,0,2.0191649269311065,0,,,0,2,4,15,26.67
ACEL,Accel Entertainment,9.78,13.0,32.92,1,Underpriced,Significantly,32.92,1,5.983765341549923,0,13.04,62.24668954248366,0,Gambling,22.953636363636363,0,2,ACEL,Accel Entertainment,106.45,44.406666666666666,1,13.162481789802287,1,Gambling,,5.5687500000000005,0,13.650812124678296,0,37.7,1,3,ACEL,Accel Entertainment,103320000.0,1,3.22,1,Gambling,2.95,2.532222222222222,0,2.0191649269311065,0,,106.45%,0,2,7,15,46.67
ACER,Acer Therapeutics,0.82,9.5,1058.54,1,Underpriced,Significantly,1058.54,1,6.7957481829809,1,,62.24668954248366,0,Biotechnology,22.024186046511627,0,3,ACER,Acer Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,,0,0,ACER,Acer Therapeutics,-22556320.0,0,0.2,0,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,0,3,15,20.0
ACET,Adicet Bio,4.4,23.25,428.41,1,Underpriced,Significantly,428.41,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ACET,Adicet Bio,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-36.0,0,0,ACET,Adicet Bio,-110579000.0,0,12.98,1,Biotechnology,0.09,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ACGL,Arch Capital Group,71.16,77.05,8.28,1,Underpriced,Slightly,8.28,0,66.16307769289457,0,13.74,62.24668954248366,0,Insurance - Diversified,56.15923076923077,0,1,ACGL,Arch Capital Group,36.08,14.956666666666669,1,13.162481789802287,1,Insurance - Diversified,14.16,7.884166666666666,1,13.650812124678296,1,15.3,0,4,ACGL,Arch Capital Group,2096458000.0,1,,0,Insurance - Diversified,0.19,1.1169230769230771,1,2.0191649269311065,1,18.41%,36.08%,1,4,9,15,60.0
ACGN,Aceragen,1.75,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,ACGN,Aceragen,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-117.4,0,0,ACGN,Aceragen,-32680000.0,0,0.83,0,Biotechnology,0.05,0.9478119349005424,1,2.0191649269311065,1,,,0,2,2,15,13.33
ACHC,Acadia Healthcare Company,73.15,89.83,22.8,1,Underpriced,Significantly,22.8,1,46.01443623747104,0,23.98,62.24668954248366,0,Medical Care Facilities,27.51,0,2,ACHC,Acadia Healthcare Company,4.31,8.7785,0,13.162481789802287,0,Medical Care Facilities,-1.43,6.7909375,0,13.650812124678296,0,10.1,0,0,ACHC,Acadia Healthcare Company,454446000.0,1,1.42,1,Medical Care Facilities,0.55,4.20725,1,2.0191649269311065,1,33.57%,4.31%,1,5,7,15,46.67
ACHL,Achilles Therapeutics,0.98,9.5,869.39,1,Underpriced,Significantly,869.39,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,ACHL,Achilles Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-34.9,0,0,ACHL,Achilles Therapeutics,-77967000.0,0,10.32,1,Biotechnology,0.04,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
ACHR,Archer Aviation,3.99,7.5,87.97,1,Underpriced,Significantly,87.97,1,,0,,62.24668954248366,0,Aerospace & Defense,30.43444444444444,0,2,ACHR,Archer Aviation,,10.340967741935485,0,13.162481789802287,0,Aerospace & Defense,,11.9064,0,13.650812124678296,0,-71.4,0,0,ACHR,Archer Aviation,-394100000.0,0,7.28,1,Aerospace & Defense,0.05,0.8166666666666667,1,2.0191649269311065,1,,,0,3,5,15,33.33
