Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE,Valuation,PT Diff in %,Score,Valuation1,Score1,PT Diff in % Absolute,BG_Value,Score2,Score3,PE_Market_avg,Score4,PE_Industry_group_avg
AAPL,Apple,2908551280927,184.92,185.21,0.16%,Consumer Electronics,31.4,5.89,2.75,46.79,15728700416.0,62158000000.0,Technology,-4.23%,7.55,1.29,165.70%,Underpriced,0.16,1,Slightly,0,0.16,22.885004504877795,0,0,62.24668954248366,0,49.6125
AAT,American Assets Trust,1514898500,19.7,23.5,19.29%,REIT - Diversified,24.02,0.82,21.85,1.24,76898401.0,1217129000.0,Real Estate,30.16%,3.53,1.12,4.00%,Underpriced,19.29,1,Slightly,0,19.29,17.08865318077986,0,0,62.24668954248366,0,31.277272727272727
AAU,Almaden Minerals,17646620,0.13,N/A,,Gold,,-0.06,,0.35,137220992.0,50261893.0,Materials,,,0.99,-15.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,61.23947368421052
AB,AllianceBernstein Holding L.P.,3793560960,33.46,39.6,18.35%,Asset Management,13.83,2.42,11.37,1.85,113376000.0,2051754000.0,Financials,-38.58%,13.19,1.36,14.30%,Underpriced,18.35,1,Slightly,0,18.35,31.390701496669454,0,0,62.24668954248366,0,42.887671232876706
ABBV,AbbVie,244601172255,138.64,164.94,18.97%,Drug Manufacturers - General,32.7,4.24,1.28,18.43,1764290048.0,13274000000.0,Healthcare,-39.17%,4.31,0.55,49.60%,Underpriced,18.97,1,Slightly,0,18.97,26.791072635380704,0,0,62.24668954248366,0,27.4225
ABC,AmerisourceBergen,36999679266,183.01,186.88,2.12%,Medical Distribution,23.49,7.79,1.58,131.35,202172992.0,281686000.0,Healthcare,-5.00%,0.15,0.52,5561.20%,Underpriced,2.11,1,Slightly,0,2.11,15.627195672162392,0,0,62.24668954248366,0,22.002857142857142
ABCB,Ameris Bancorp,2450286289,35.32,47.17,33.55%,Banks - Regional,7.53,4.69,2.45,0.75,69373904.0,3253195000.0,Financials,-1.88%,2.5,1.09,10.30%,Underpriced,33.55,1,Significantly,1,33.55,70.34523114032562,1,0,62.24668954248366,0,11.796324786324787
ABCL,AbCellera Biologics,2188558240,7.58,26.5,249.60%,Biotechnology,,-0.18,,1.81,288728000.0,1208500000.0,Healthcare,,12.09,-0.12,-4.10%,Underpriced,249.6,1,Significantly,1,249.6,,0,0,62.24668954248366,0,22.024186046511627
ABCM,Abcam,5125120308,22.31,21.0,-5.87%,Biotechnology,,-0.04,,5.85,229723008.0,875783133.0,Healthcare,,11.76,0.64,-1.20%,Overpriced,-5.87,0,Slightly,0,5.87,,0,0,62.24668954248366,0,22.024186046511627
ABEO,Abeona Therapeutics,84501900,4.5,22.0,388.89%,Biotechnology,,-2.58,,4.51,18778200.0,18740000.0,Healthcare,,79.12,1.26,-157.00%,Underpriced,388.89,1,Significantly,1,388.89,,0,0,62.24668954248366,0,22.024186046511627
ABEV,Ambev,48659775099,3.09,3.74,21.04%,Beverages - Brewers,16.26,0.17,1.98,3.14,15747500032.0,15492551985.0,Consumer Staples,14.14%,3.23,0.65,17.60%,Underpriced,21.04,1,Significantly,1,21.04,1.9398644840207069,0,0,62.24668954248366,0,30.528
ABG,Asbury Automotive Group,4776048039,221.79,227.0,2.35%,Auto & Truck Dealerships,5.21,42.56,0.31,1.57,21534100.0,3049200000.0,Consumer Discretionary,32.54%,0.32,1.12,34.20%,Underpriced,2.35,1,Slightly,0,2.35,368.23211425026193,1,0,62.24668954248366,0,22.174705882352942
ABIO,ARCA biopharma,30261210,2.1,N/A,,Biotechnology,,-0.55,,0.75,14410100.0,40531000.0,Healthcare,,,1.37,-18.80%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
ABM,ABM Industries,2801283100,42.35,49.5,16.88%,Specialty Business Services,14.4,2.94,4.45,1.57,66146000.0,1782800000.0,Industrials,38.03%,0.35,1.09,11.30%,Underpriced,16.88,1,Slightly,0,16.88,42.22449301052731,0,0,62.24668954248366,0,33.583636363636366
ABNB,Airbnb,81101211598,128.68,131.28,2.02%,Travel Services,42.75,3.01,,15.33,630254986.0,5291000000.0,Consumer Discretionary,155.08%,9.31,1.14,37.50%,Underpriced,2.02,1,Slightly,0,2.02,23.84433652439245,0,0,62.24668954248366,0,32.362
ABOS,Acumen Pharmaceuticals,239586584,5.84,15.75,169.69%,Biotechnology,,-1.11,,1.34,41025100.0,179085000.0,Healthcare,,,,-23.40%,Underpriced,169.69,1,Significantly,1,169.69,,0,0,62.24668954248366,0,22.024186046511627
ABR,Arbor Realty Trust,2512702959,13.87,14.75,6.34%,REIT - Mortgage,8.06,1.72,1.2,0.83,181160992.0,3021506000.0,Real Estate,-19.63%,3.82,1.91,10.60%,Underpriced,6.34,1,Slightly,0,6.34,25.40591659104483,1,0,62.24668954248366,0,16.103125
ABSI,Absci,161880768,1.75,8.67,395.43%,Biotechnology,,-1.09,,0.64,92503296.0,253965000.0,Healthcare,,26.12,,-34.70%,Underpriced,395.43,1,Significantly,1,395.43,,0,0,62.24668954248366,0,22.024186046511627
ABST,Absolute Software,603445472,11.36,13.0,14.44%,Software - Application,,-0.5,,,53120200.0,-11839000.0,Technology,,2.72,0.36,,Underpriced,14.44,1,Slightly,0,14.44,1.5834484190128642,0,0,62.24668954248366,0,164.93469696969697
ABT,Abbott Laboratories,184676491699,106.2,123.3,16.10%,Medical Devices,32.28,3.29,18.76,4.96,1738950016.0,37232000000.0,Healthcare,-23.67%,4.45,0.66,15.80%,Underpriced,16.1,1,Slightly,0,16.1,39.8110692018745,0,0,62.24668954248366,0,1044.0974193548386
ABUS,Arbutus Biopharma,413673660,2.49,6.0,140.96%,Biotechnology,,-0.46,,2.87,166134000.0,143915000.0,Healthcare,,12.49,2.25,-48.30%,Underpriced,140.96,1,Significantly,1,140.96,,0,0,62.24668954248366,0,22.024186046511627
ABVC,ABVC BioPharma,19262892,0.58,N/A,,Biotechnology,,-0.38,,11.53,33080700.0,1670488.0,Healthcare,,17.96,0.4,-244.80%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
AC,Associated Capital Group,780917420,35.68,N/A,,Capital Markets,,-0.68,,0.86,21886699.0,906001000.0,Financials,,51.68,1.08,-1.70%,N/A,,0,,0,,,0,0,62.24668954248366,0,21.3659375
ACA,Arcosa,3464207088,71.52,78.75,10.11%,Infrastructure Operations,12.4,5.77,6.72,1.54,48436900.0,2243200000.0,Industrials,279.61%,1.54,0.55,13.30%,Underpriced,10.11,1,Slightly,0,10.11,77.53985663429482,1,0,62.24668954248366,0,27.21
ACAB,Atlantic Coastal Acquisition Corp. II,113621923,10.39,N/A,,Shell Companies,94.45,0.11,,,10935700.0,-11663428.0,Financials,,,,-36.50%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
ACAC,Acri Capital Acquisition,62639341,10.8,N/A,,Shell Companies,,-4.22,,,5799939.0,-2895662.0,Financials,,,,-29.00%,N/A,,0,,0,,6.885091322027683,0,0,62.24668954248366,0,132.68085501858738
ACAD,ACADIA Pharmaceuticals,3914383557,24.07,22.48,-6.61%,Biotechnology,,-0.91,,10.46,162624992.0,374258000.0,Healthcare,,7.52,0.53,-35.70%,Overpriced,-6.61,0,Slightly,0,6.61,,0,0,62.24668954248366,0,22.024186046511627
ACAH,Atlantic Coastal Acquisition,124858552,10.27,N/A,,Shell Companies,39.5,0.26,,,12157600.0,-21201335.0,Financials,,,0.01,-55.90%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
ACAQ,Athena Consumer Acquisition,120292931,10.78,N/A,,Shell Companies,1078.0,0.01,,,11158899.0,-13003880.0,Financials,,,,,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
ACAX,Alset Capital Acquisition,117051990,10.4,N/A,,Shell Companies,260.0,0.04,,,11254999.0,-2130363.0,Financials,,,,-40.80%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
ACB,Aurora Cannabis,191271249,0.54,1.6,196.30%,Drug Manufacturers - Specialty & Generic,,-2.33,,0.54,354206016.0,352228986.0,Healthcare,,1.17,2.97,-148.40%,Underpriced,196.3,1,Significantly,1,196.3,,0,0,62.24668954248366,0,42.62173913043478
ACBA,Ace Global Business Acquisition,42329274,11.24,N/A,,Shell Companies,,-0.92,,,3789550.0,-5369042.0,Financials,,,0.04,-24.10%,N/A,,0,,0,,5.415514868936134,0,0,62.24668954248366,0,132.68085501858738
ACCD,Accolade,1002895080,13.62,15.1,10.87%,Health Information Services,,-6.45,,2.12,73634000.0,473786000.0,Healthcare,,2.76,1.69,-91.90%,Underpriced,10.87,1,Slightly,0,10.87,,0,0,62.24668954248366,0,95.41799999999999
ACCO,ACCO Brands,498316350,5.25,7.0,33.33%,Business Equipment & Supplies,,-0.18,0.42,0.62,94917400.0,809800000.0,Industrials,,0.26,1.83,-1.70%,Underpriced,33.33,1,Significantly,1,33.33,,0,0,62.24668954248366,0,16.6125
ACDC,ProFrac Holding,2149639332,13.52,23.0,70.12%,Oil & Gas Equipment & Services,5.52,2.45,,17.93,158996992.0,119900000.0,Energy,,0.73,,-13.60%,Underpriced,70.12,1,Significantly,1,70.12,6.447471613175408,0,0,62.24668954248366,0,26.985882352941175
ACEL,Accel Entertainment,841129917,9.78,13.0,32.92%,Gambling,13.04,0.75,,4.61,86005104.0,182486000.0,Consumer Discretionary,56.25%,0.79,1.55,37.70%,Underpriced,32.92,1,Significantly,1,32.92,5.983765341549923,0,0,62.24668954248366,0,22.953636363636363
ACER,Acer Therapeutics,19921222,0.82,9.5,1058.82%,Biotechnology,,-1.91,,,24300100.0,-26113599.0,Healthcare,,,0.58,,Underpriced,1058.54,1,Significantly,1,1058.54,6.7957481829809,1,0,62.24668954248366,0,22.024186046511627
ACET,Adicet Bio,189013440,4.4,23.25,428.41%,Biotechnology,,-2.53,,0.71,42957600.0,266215000.0,Healthcare,,,1.92,-36.00%,Underpriced,428.41,1,Significantly,1,428.41,,0,0,62.24668954248366,0,22.024186046511627
ACGL,Arch Capital Group,26501621249,71.16,77.05,8.28%,Insurance - Diversified,13.74,5.18,2.24,1.89,372423008.0,13988000000.0,Financials,11.16%,2.44,0.73,15.30%,Underpriced,8.28,1,Slightly,0,8.28,66.16307769289457,0,0,62.24668954248366,0,56.15923076923077
ACGN,Aceragen,14741125,1.75,N/A,,Biotechnology,,-7.18,,1.25,8423500.0,11826000.0,Healthcare,,,,-117.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
ACHC,Acadia Healthcare Company,6732338598,73.15,89.83,22.80%,Medical Care Facilities,23.98,3.05,1.32,2.37,92034704.0,2839602000.0,Healthcare,14.66%,2.5,1.31,10.10%,Underpriced,22.8,1,Significantly,1,22.8,46.01443623747104,0,0,62.24668954248366,0,27.51
ACHL,Achilles Therapeutics,40123824,0.98,9.5,869.29%,Biotechnology,,-1.82,,0.22,40938500.0,185171000.0,Healthcare,,,0.93,-34.90%,Underpriced,869.39,1,Significantly,1,869.39,,0,0,62.24668954248366,0,22.024186046511627
ACHR,Archer Aviation,987313522,3.99,7.5,87.97%,Aerospace & Defense,,-1.53,,2.41,247446998.0,410100000.0,Industrials,,,2.07,-71.40%,Underpriced,87.97,1,Significantly,1,87.97,,0,0,62.24668954248366,0,30.43444444444444
ACHV,Achieve Life Sciences,122247048,5.81,14.67,152.50%,Biotechnology,,-3.69,,275.95,21040800.0,443000.0,Healthcare,,,1.56,-762.70%,Underpriced,152.5,1,Significantly,1,152.5,,0,0,62.24668954248366,0,22.024186046511627
ACI,Albertsons Companies,12265376123,21.37,25.63,19.93%,Grocery Stores,9.41,2.27,1.43,7.61,573953024.0,1610700000.0,Consumer Staples,-15.93%,0.16,0.36,55.60%,Underpriced,19.93,1,Slightly,0,19.93,11.972182895067968,0,0,62.24668954248366,0,14.291999999999998
ACIU,AC Immune,167240800,2.0,13.0,550.00%,Biotechnology,,-0.91,,1.0,83620400.0,168060440.0,Healthcare,,38.68,0.57,-38.80%,Underpriced,550.0,1,Significantly,1,550.0,,0,0,62.24668954248366,0,22.024186046511627
ACIW,ACI Worldwide,2481657020,22.91,32.5,41.86%,Software - Infrastructure,28.28,0.81,-3.24,2.13,108322000.0,1167627000.0,Technology,-34.15%,1.79,1.11,7.90%,Underpriced,41.86,1,Significantly,1,41.86,14.016110024437252,0,0,62.24668954248366,0,91.06395348837209
ACLS,Axcelis Technologies,5530792788,169.08,147.2,-12.94%,Semiconductor Equipment & Materials,29.82,5.67,1.23,7.88,32711100.0,701821000.0,Technology,56.20%,5.7,1.71,29.40%,Overpriced,-12.94,0,Slightly,0,12.94,52.31766994312126,0,0,62.24668954248366,0,244.2408
ACLX,Arcellx,1718167300,35.8,48.7,36.03%,Biotechnology,,-4.3,,5.66,47993500.0,303717000.0,Healthcare,,95.92,,-71.10%,Underpriced,36.03,1,Significantly,1,36.03,,0,0,62.24668954248366,0,22.024186046511627
ACM,AECOM,12047044023,86.67,98.5,13.65%,Engineering & Construction,32.71,2.65,1.4,4.64,138999008.0,2594340000.0,Industrials,82.76%,0.89,1.3,14.80%,Underpriced,13.65,1,Slightly,0,13.65,33.35967350400863,0,0,62.24668954248366,0,30.660833333333333
ACMR,ACM Research,696939168,11.64,18.33,57.47%,Semiconductor Equipment & Materials,14.73,0.79,,1.01,59874499.0,691927000.0,Technology,102.56%,1.66,1.12,7.80%,Underpriced,57.47,1,Significantly,1,57.47,14.332237535259049,1,0,62.24668954248366,0,244.2408
ACN,Accenture,201799745505,319.54,326.79,2.27%,Information Technology Services,29.42,10.86,2.98,8.49,631532032.0,23762619000.0,Technology,9.48%,3.2,1.24,30.80%,Underpriced,2.27,1,Slightly,0,2.27,95.88609504948505,0,0,62.24668954248366,0,32.660810810810815
ACNB,ACNB Corporation,277517346,32.56,33.5,2.89%,Banks - Regional,7.32,4.45,,1.08,8523260.0,255841000.0,Financials,43.55%,2.49,0.35,15.60%,Underpriced,2.89,1,Slightly,0,2.89,54.82182237440449,1,0,62.24668954248366,0,11.796324786324787
ACNT,Ascent Industries Co.,95523531,9.39,20.0,112.99%,Steel,15.15,0.62,,0.74,10172900.0,129044000.0,Materials,-79.40%,0.25,0.73,5.00%,Underpriced,112.99,1,Significantly,1,112.99,13.302510927648663,1,0,62.24668954248366,0,10.715789473684211
ACON,Aclarion,8282889,1.01,3.0,197.03%,Health Information Services,,-1.23,,3.72,8200880.0,2225958.0,Healthcare,,137.03,,,Underpriced,197.03,1,Significantly,1,197.03,,0,0,62.24668954248366,0,95.41799999999999
ACOR,Acorda Therapeutics,15709921,12.91,N/A,,Drug Manufacturers - Specialty & Generic,,-53.8,,0.2,1216880.0,76960000.0,Healthcare,,0.13,1.37,-69.70%,N/A,,0,,0,,,0,0,62.24668954248366,0,42.62173913043478
ACR,ACRES Commercial Realty,71208033,8.29,13.5,62.85%,REIT - Mortgage,,-0.97,,0.16,8589630.0,433753000.0,Real Estate,,0.83,1.82,-1.90%,Underpriced,62.85,1,Significantly,1,62.85,,0,0,62.24668954248366,0,16.103125
ACRE,Ares Commercial Real Estate,552620816,10.12,10.7,5.73%,REIT - Mortgage,72.29,0.14,2.57,0.77,54606800.0,718303000.0,Real Estate,-89.63%,5.05,1.42,0.90%,Underpriced,5.73,1,Slightly,0,5.73,6.437033263849441,0,1,62.24668954248366,1,16.103125
ACRO,Acropolis Infrastructure Acquisition,441168740,10.23,N/A,,Shell Companies,93.0,0.11,,,43124999.0,-16048619.0,Financials,,,,-30.90%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
ACRS,Aclaris Therapeutics,722343468,10.22,32.0,213.11%,Diagnostics & Research,,-1.44,,4.09,70679400.0,176810000.0,Healthcare,,23.43,0.53,-46.40%,Underpriced,213.11,1,Significantly,1,213.11,,0,0,62.24668954248366,0,60.269999999999996
ACRV,Acrivon Therapeutics,274075000,12.5,23.2,85.60%,Biotechnology,,-1.78,,1.71,21926000.0,160469000.0,Healthcare,,,,,Underpriced,85.6,1,Significantly,1,85.6,,0,0,62.24668954248366,0,22.024186046511627
ACRX,AcelRx Pharmaceuticals,12890674,1.18,N/A,,Drug Manufacturers - Specialty & Generic,0.19,6.17,,0.91,10924300.0,14242000.0,Healthcare,,9.7,0.19,178.30%,N/A,,0,,0,,13.453104718414671,1,0,62.24668954248366,0,42.62173913043478
ACST,Acasti Pharma,25652360,0.57,2.45,326.09%,Biotechnology,,-0.26,,0.35,44612800.0,73114866.0,Healthcare,,,1.52,-16.80%,Underpriced,329.82,1,Significantly,1,329.82,,0,0,62.24668954248366,0,22.024186046511627
ACT,Enact Holdings,4029829940,24.94,27.0,8.26%,Insurance - Specialty,5.69,4.38,,0.94,161580992.0,4296621000.0,Financials,21.67%,3.64,,17.20%,Underpriced,8.26,1,Slightly,0,8.26,51.191364131033055,1,0,62.24668954248366,0,20.699375
ACTG,Acacia Research,265825172,4.54,N/A,,Specialty Business Services,,-1.99,,0.77,58551800.0,344645000.0,Industrials,,4.39,0.4,-20.80%,N/A,,0,,0,,,0,0,62.24668954248366,0,33.583636363636366
ACU,Acme United,87579284,24.7,N/A,,Household & Personal Products,28.39,0.87,1.43,1.09,3545720.0,80116000.0,Consumer Staples,-72.29%,0.45,0.89,4.00%,N/A,,0,,0,,21.030921182157275,0,0,62.24668954248366,0,52.93631578947368
ACVA,ACV Auctions,2830504147,17.72,17.75,0.17%,Auto & Truck Dealerships,,-0.57,,5.89,159734997.0,480906000.0,Consumer Discretionary,,6.46,1.4,-18.40%,Underpriced,0.17,1,Slightly,0,0.17,,0,0,62.24668954248366,0,22.174705882352942
ACXP,Acurx Pharmaceuticals,34120608,2.78,14.0,403.60%,Biotechnology,,-1.11,,6.42,12273600.0,5311439.0,Healthcare,,,,-158.10%,Underpriced,403.6,1,Significantly,1,403.6,,0,0,62.24668954248366,0,22.024186046511627
ADAG,Adagene,56029056,1.28,5.0,290.63%,Biotechnology,,-1.85,,0.67,43772700.0,83090350.0,Healthcare,,6.03,0.05,-66.70%,Underpriced,290.62,1,Significantly,1,290.62,,0,0,62.24668954248366,0,22.024186046511627
ADAP,Adaptimmune Therapeutics,229555080,1.02,5.7,458.82%,Biotechnology,,-0.72,,2.74,225054000.0,83876000.0,Healthcare,,3.23,2.26,-108.50%,Underpriced,458.82,1,Significantly,1,458.82,,0,0,62.24668954248366,0,22.024186046511627
ADBE,Adobe,227139066000,495.18,447.72,-9.58%,Software - Infrastructure,47.25,10.48,1.48,15.31,458700000.0,14838000000.0,Technology,2.24%,12.33,1.3,8.73%,Overpriced,-9.58,0,Slightly,0,9.58,87.33638538377464,0,0,62.24668954248366,0,91.06395348837209
ADC,Agree Realty,6136182656,65.84,77.13,17.15%,REIT - Retail,36.78,1.79,-28.74,1.28,93198400.0,4796544000.0,Real Estate,0.56%,13.4,0.47,3.40%,Underpriced,17.15,1,Slightly,0,17.15,45.52791508741537,0,0,62.24668954248366,0,61.5325
ADCT,ADC Therapeutics,184671316,2.29,8.4,266.81%,Biotechnology,,-2.52,,4.9,80642496.0,37685000.0,Healthcare,,1.01,1.08,-229.20%,Underpriced,266.81,1,Significantly,1,266.81,,0,0,62.24668954248366,0,22.024186046511627
ADD,Color Star Technology Co.,13971762,1.46,N/A,,Entertainment,,-101.0,,0.32,9569700.0,43058655.0,Communication Services,,1.97,2.14,-125.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,49.265
ADEA,Adeia,1132478400,10.65,16.5,54.93%,Software - Application,,-2.86,,3.51,106336000.0,322614000.0,Technology,,1.7,0.88,-39.10%,Underpriced,54.93,1,Significantly,1,54.93,,0,0,62.24668954248366,0,164.93469696969697
ADER,26 Capital Acquisition,110087360,10.68,N/A,,Shell Companies,133.53,0.08,,,10305200.0,-20164770.0,Financials,-63.64%,,0.03,-21.70%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
ADES,Advanced Emissions Solutions,36486860,1.34,6.0,347.76%,Pollution & Treatment Controls,,-0.64,0.1,0.23,27229000.0,161214000.0,Industrials,,0.37,0.8,-9.10%,Underpriced,347.76,1,Significantly,1,347.76,,0,0,62.24668954248366,0,63.970000000000006
ADEX,Adit EdTech Acquisition,99763023,10.65,N/A,,Shell Companies,1065.0,0.01,,,9367420.0,-13926928.0,Financials,,,0.02,-20.10%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
ADI,Analog Devices,94447091466,188.36,199.89,6.12%,Semiconductors,26.76,7.04,1.53,2.62,501417984.0,36013224000.0,Technology,113.33%,7.34,1.14,10.00%,Underpriced,6.12,1,Slightly,0,6.12,106.6617332233421,0,0,62.24668954248366,0,328.74357142857144
ADIL,Adial Pharmaceuticals,6955064,0.24,N/A,,Biotechnology,,-0.5,,4.83,28716200.0,1439848.0,Healthcare,,,0.95,-281.50%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
ADM,Archer-Daniels-Midland Company,41109050404,75.48,98.91,31.04%,Farm Products,9.47,7.97,16.43,1.65,544635008.0,24896000000.0,Consumer Staples,46.78%,0.4,0.81,18.20%,Underpriced,31.04,1,Significantly,1,31.04,90.53831980865135,1,0,62.24668954248366,0,14.539090909090909
ADMA,ADMA Biologics,873532859,3.93,5.25,33.59%,Biotechnology,,-0.24,,6.0,222272992.0,145654620.0,Healthcare,,4.8,0.91,-37.20%,Underpriced,33.59,1,Significantly,1,33.59,,0,0,62.24668954248366,0,22.024186046511627
ADMP,Adamis Pharmaceuticals,5724655,2.15,N/A,,Drug Manufacturers - Specialty & Generic,,-0.18,,,2662630.0,-9681681.0,Healthcare,,1.11,1.23,,N/A,,0,,0,,3.8374920226013978,1,0,62.24668954248366,0,42.62173913043478
ADN,Advent Technologies Holdings,35867159,0.68,10.5,1454.40%,Utilities - Renewable,,-1.59,,0.65,53097200.0,55068000.0,Utilities,,4.75,-0.11,-95.40%,Underpriced,1444.12,1,Significantly,1,1444.12,,0,0,62.24668954248366,0,28.711428571428574
ADNT,Adient,3709465432,39.17,45.71,16.70%,Auto Parts,326.42,0.12,0.15,1.69,94701696.0,2197000000.0,Consumer Discretionary,-98.47%,0.25,2.78,0.60%,Underpriced,16.7,1,Slightly,0,16.7,7.9144006573802645,0,1,62.24668954248366,1,53.232
ADOC,Edoc Acquisition,40351931,11.03,N/A,,Shell Companies,,-0.72,,,3658380.0,-5272300.0,Financials,,,0.01,,N/A,,0,,0,,4.831846814689785,0,0,62.24668954248366,0,132.68085501858738
ADP,Automatic Data Processing,91432384131,221.32,238.8,7.90%,Staffing & Employment Services,28.3,7.82,2.95,24.75,413123008.0,3693800000.0,Industrials,15.34%,5.18,0.81,104.50%,Underpriced,7.9,1,Slightly,0,7.9,39.66355461176748,0,0,62.24668954248366,0,36.89842105263158
ADPT,Adaptive Biotechnologies,1210769357,8.39,12.5,48.99%,Biotechnology,,-1.37,,2.86,144311008.0,424020000.0,Healthcare,,6.57,1.17,-41.20%,Underpriced,48.99,1,Significantly,1,48.99,,0,0,62.24668954248366,0,22.024186046511627
ADRT,Ault Disruptive Technologies,158412500,11.02,N/A,,Shell Companies,220.4,0.05,,,14375000.0,-3283459.0,Financials,,,,-24.60%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
ADSE,ADS-TEC Energy,296724059,6.07,6.33,4.28%,Electrical Equipment & Parts,,-0.41,,3.45,48883700.0,85901064.0,Industrials,,10.55,0.28,-21.30%,Underpriced,4.28,1,Slightly,0,4.28,,0,0,62.24668954248366,0,20.11842105263158
